;Inception;SVM;Text
Arts & Photography;12.631578947368421;15.789473684210526;25.29
Biographies & Memoirs;26.31578947368421;21.578947368421055;24.32
Business & Money;28.421052631578945;18.421052631578945;45.16
Calendars;52.63157894736842;51.578947368421055;55.35
Children's Books;33.1578947368421;40.0;22.64
Christian Books & Bibles;13.157894736842104;61.05263157894737;17.73
Comics & Graphic Novels;51.05263157894737;43.684210526315795;72.19
Computers & Technology;47.89473684210526;47.368421052631575;64.8
Cookbooks,  Food & Wine;47.368421052631575;27.89473684210526;42.86
Crafts,  Hobbies & Home;18.421052631578945;15.789473684210526;38.76
Engineering & Transportation;38.421052631578945;34.21052631578947;35.96
Health,  Fitness & Dieting;11.578947368421053;18.421052631578945;44.56
History;13.684210526315791;23.684210526315788;50.54
Humor & Entertainment;7.894736842105263;13.684210526315791;29.71
Law;19.473684210526315;22.105263157894736;52.43
Literature & Fiction;12.631578947368421;16.842105263157894;18.78
Medical Books;17.36842105263158;24.736842105263158;54.3
,  Thriller & Suspense;42.63157894736842;40.0;22.28
Parenting & Relationships;22.63157894736842;24.736842105263158;48.9
Politics & Social Sciences;12.105263157894736;9.473684210526317;27.57
Reference;21.052631578947366;18.947368421052634;35.39
Religion & Spirituality;8.947368421052632;16.842105263157894;41.85
Romance;42.63157894736842;51.578947368421055;19.55
Science & Math;14.210526315789473;20.0;41.9
Science Fiction & Fantasy;25.263157894736842;38.94736842105263;12.35
Self-Help;14.736842105263156;20.0;46.27
Sports & Outdoors;25.263157894736842;27.368421052631582;42.7
Teen & Young Adult;10.0;18.421052631578945;10.37
Test Preparation;62.63157894736842;65.26315789473685;81.28
Travel;34.73684210526316;33.1578947368421;55.62
